CompanyID,CompanyShortName,CompanyName,CompanyRomajiName,OrderParentFolder,OrderFolderPath,CadFolderPath,CompanyAddress,CompanyTEL,CompanyFAX,CompanyNotes,UpdatedAt,UpdatedBy
20,AMF,アミーファースト,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　アミーファースト#,,,,,,,
21,ALF,アルファクトﾋﾞｼﾞﾈｽｻｰﾋﾞｽ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　アルファクトﾋﾞｼﾞﾈｽｻｰﾋﾞｽ#,,,,,,,
22,ARP,アルプレート,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　アルプレート#,,,,,,,
23,AAK,アーク,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　アーク#,,,,,,,
24,AZA,亜細亜製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　亜細亜製作所#,,,,,,,
25,AZM3,吾嬬製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　吾嬬製作所#,,,,,,,
26,AMT,天鳥,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　天鳥#,,,,,,,
27,ADT01,安達SS,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　安達SS#,,,,,,,
28,AKH,愛幸発條,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　愛幸発條#,,,,,,,
29,ARI,新井製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　新井製作所#,,,,,,,
30,ASS3,旭商工社,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　旭商工社#,,,,,,,
31,ASAHI,旭金属工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　旭金属工業#,,,,,,,
32,AKS02,明石石油,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　明石石油#,,,,,,,
33,AKB,曙産業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　曙産業#,,,,,,,
34,ASH3,朝日ラバー,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　朝日ラバー#,,,,,,,
35,ASK3,朝日化成,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　朝日化成#,,,,,,,
36,ASS-001,朝日精機製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　朝日精機製作所#,,,,,,,
37,ASAHI PLASTIC,朝日ﾌﾟﾗｽﾁｯｸ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　朝日ﾌﾟﾗｽﾁｯｸ#,,,,,,,
38,ASN,浅野,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　浅野#,,,,,,,
39,AIH,相原製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　相原製作所#,,,,,,,
40,AKP,相川プレス工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　相川プレス工業#,,,,,,,
41,AKM01,秋元化工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　秋元化工#,,,,,,,
42,AKM2,秋元製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　秋元製作所#,,,,,,,
43,ARK,荒川ﾊﾟｯｸ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　荒川ﾊﾟｯｸ#,,,,,,,
44,AUK,荒海機械,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　荒海機械#,,,,,,,
45,2022.7,青野工業(単価注意：1つのアイテムで部分的に見積もりあり）,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　青野工業(単価注意：1つのアイテムで部分的に見積もりあり）#,,,,,,,
46,ATT,ｱｰﾄﾃｸﾉﾛｼﾞｰ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　ｱｰﾄﾃｸﾉﾛｼﾞｰ#,,,,,,,
47,ITO01,ｱｲﾃｨｰｵｰ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　ｱｲﾃｨｰｵｰ#,,,,,,,
48,AKS,ｱｸｾﾌﾟﾄ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　ｱｸｾﾌﾟﾄ#,,,,,,,
49,ALV,ｱﾙﾊﾞｯｸ機工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\あ　ｱﾙﾊﾞｯｸ機工#,,,,,,,
50,ISZ,いすゞ自動車,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　いすゞ自動車#,,,,,,,
51,ITE,いなばテクノ・エボリューション,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　いなばテクノ・エボリューション#,,,,,,,
52,6-76-7,いろは機工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　いろは機工#,,,,,,,
53,ICK02,一幸工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　一幸工業#,,,,,,,
54,IRB,井上リボン工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　井上リボン工業#,,,,,,,
55,IGT,井口商店,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　井口商店#,,,,,,,
56,IGA,井雅,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　井雅#,,,,,,,
57,IMG,今井ゴム,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　今井ゴム#,,,,,,,
58,ITK2,伊藤コーデン,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　伊藤コーデン#,,,,,,,
59,ITC,伊藤忠ﾌﾟﾗｽﾁｯｸ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　伊藤忠ﾌﾟﾗｽﾁｯｸ#,,,,,,,
60,ITK,伊藤機械器具,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　伊藤機械器具#,,,,,,,
61,ITU,伊藤製作所(2013.10倒産）,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　伊藤製作所(2013.10倒産）#,,,,,,,
62,INS,伊那三光,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　伊那三光#,,,,,,,
63,IRS,入曽精密,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　入曽精密#,,,,,,,
64,出光PPｼｰﾄ試作(20080311).xls,出光興産,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　出光興産#,,,,,,,
65,IWM,岩本製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　岩本製作所#,,,,,,,
66,IWD,岩機ダイカスト工業☆,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　岩機ダイカスト工業 ☆#,,,,,,,
67,IWN,岩沼精工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　岩沼精工#,,,,,,,
68,IWT2,岩田興産,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　岩田興産#,,,,,,,
69,IKD2,池田製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　池田製作所#,,,,,,,
70,IKD,池田電機,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　池田電機#,,,,,,,
71,IZM2,泉産業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　泉産業#,,,,,,,
72,IZD,泉電気,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　泉電気#,,,,,,,
73,ISI01,石井ﾌﾟﾚｽ工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　石井ﾌﾟﾚｽ工業#,,,,,,,
74,IST,石友,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　石友#,,,,,,,
75,ISK04,石川サンケン,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　石川サンケン#,,,,,,,
76,ISK2,石川商事,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　石川商事#,,,,,,,
77,IKS,石川精密,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　石川精密#,,,,,,,
78,ISK3,石川電機,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　石川電機#,,,,,,,
79,2022.8.12,石巻パッケージ(2022.8.12合併連絡七星社ダンボール事業部様内指示書使用）,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　石巻パッケージ(2022.8.12合併連絡 七星社ダンボール事業部様内指示書使用）#,,,,,,,
80,IZK,石関工範,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　石関工範#,,,,,,,
81,IND,稲田鍍金工業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　稲田鍍金工業所#,,,,,,,
82,IHK-001,稲畑香料,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　稲畑香料#,,,,,,,
83,IKR,育良製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　育良製作所#,,,,,,,
84,IBR01,茨城SMK,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　茨城SMK#,,,,,,,
85,IDK,飯田機工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　飯田機工#,,,,,,,
86,INT,ｲﾝﾃｯｸｽ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\い　ｲﾝﾃｯｸｽ#,,,,,,,
87,UEN,上野興業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　上野興業#,,,,,,,
88,UCM,内村,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　内村#,,,,,,,
89,UDS,内田商事,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　内田商事#,,,,,,,
90,UTD01,宇宙堂技研,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　宇宙堂技研#,,,,,,,
91,UTR,宇都宮螺子,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　宇都宮螺子#,,,,,,,
92,UNO2,宇野☆,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　宇野 ☆#,,,,,,,
93,UTE,打江精機,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　打江精機#,,,,,,,
94,UMZ,梅澤無線電機,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　梅澤無線電機#,,,,,,,
95,UEM,植松商会,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　植松商会#,,,,,,,
96,UED,植田工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　植田工業#,,,,,,,
97,USM,牛丸製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\う　牛丸製作所#,,,,,,,
98,7-76-9（091106）.xls,エルアンドエル大平商会,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え  エルアンドエル大平商会#,,,,,,,
99,ETK,エイト工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　エイト工業#,,,,,,,
100,ALK01,エイ・エル工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　エイ・エル工業#,,,,,,,
101,A-010-1,エムビーシー,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　エムビーシー#,,,,,,,
102,EKK,栄光化学工業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　栄光化学工業所#,,,,,,,
103,EIK2,栄光製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　栄光製作所#,,,,,,,
104,ESK,栄商金属,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　栄商金属#,,,,,,,
105,EZK,江崎工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　江崎工業#,,,,,,,
106,EIW,英和,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　英和#,,,,,,,
107,遠州,遠州,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　遠州#,,,,,,,
108,ESJ,遠州樹脂工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　遠州樹脂工業#,,,,,,,
109,END01,遠藤工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　遠藤工業#,,,,,,,
110,END2,遠藤照明,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　遠藤照明#,,,,,,,
111,AFM01,ｴｰｴﾌｴﾑｼｰ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　ｴｰｴﾌｴﾑｼｰ#,,,,,,,
112,ADK01,ｴｰﾃﾞｨｰｹｲ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　ｴｰﾃﾞｨｰｹｲ#,,,,,,,
113,72×41×28-30MSF,ｴｺｰｸﾘｴｲｼｮﾝ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　ｴｺｰｸﾘｴｲｼｮﾝ#,,,,,,,
114,,ｴｽｴｽ技研,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　ｴｽｴｽ技研#,,,,,,,
115,A-014-1（20170111）.xls,ｴｽﾗｲﾝｷﾞﾌ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　ｴｽﾗｲﾝｷﾞﾌ#,,,,,,,
116,ABS01,ｴﾋﾞｽ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　ｴﾋﾞｽ#,,,,,,,
117,MTK,ｴﾑ・ﾃｨｰ・ｺｱ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　ｴﾑ・ﾃｨｰ・ｺｱ#,,,,,,,
118,EMB,ｴﾝﾌﾞﾚﾑ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\え　ｴﾝﾌﾞﾚﾑ#,,,,,,,
119,H25MF(ｽﾃｯﾁ)＋H25大3＋K2小3（20130701）.xls,大石工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お  大石工業#,,,,,,,
120,OGR02,オグラ紙工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　オグラ紙工#,,,,,,,
121,OTA01,オータックス,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　オータックス#,,,,,,,
122,OOI01,大井電気,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大井電気#,,,,,,,
123,OBK,大場機工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大場機工#,,,,,,,
124,OPK,大塚プラスチック工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大塚プラスチック工業#,,,,,,,
125,OTK02,大塚商店,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大塚商店#,,,,,,,
126,OSK2,大崎機工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大崎機工#,,,,,,,
127,OKW01,大川技研,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大川技研#,,,,,,,
128,OOK,大川製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大川製作所#,,,,,,,
129,OOT,大手☆,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大手　☆#,,,,,,,
130,2307445-1,大村技研,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大村技研#,,,,,,,
131,OHS,大橋精密⇒社名変更ネモト･プレシジョンの指示書使用,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大橋精密 ⇒ 社名変更 ネモト･プレシジョンの指示書使用#,,,,,,,
132,OSI,大橋紙器印刷,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大橋紙器印刷#,,,,,,,
133,OES,大江産業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大江産業#,,,,,,,
134,OSW,大沢商会,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大沢商会#,,,,,,,
135,OHM,大浜工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大浜工業#,,,,,,,
136,OBG,大淵銀器,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大淵銀器#,,,,,,,
137,OSG,大澤技研工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大澤技研工業#,,,,,,,
138,OIK-001,大石金属工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大石金属工業#,,,,,,,
139,ONL,大西ライト工業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大西ライト工業所#,,,,,,,
140,ONK,大貫工業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大貫工業所#,,,,,,,
141,ONS2,大野精工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大野精工#,,,,,,,
142,OSK,大阪大学産業科学研究所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　大阪大学 産業科学研究所#,,,,,,,
143,OTK3,太田機工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　太田機工#,,,,,,,
144,OGR01,小倉貿易(201006破綻),,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　小倉貿易(201006破綻)#,,,,,,,
145,OGW,小川化成商会,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　小川化成商会#,,,,,,,
146,MOR2,岡村金型製作所(旧(有)モルテック）,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　岡村金型製作所(旧(有)モルテック）#,,,,,,,
147,OKD2,岡田加工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　岡田加工#,,,,,,,
148,OKS,岡田製作所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　岡田製作所#,,,,,,,
149,OKK,岡田金属工業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　岡田金属工業所#,,,,,,,
150,OKY2,岡谷鋼機,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　岡谷鋼機#,,,,,,,
151,OND,恩田金属工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　恩田金属工業#,,,,,,,
152,1-912065-2,旺電舎☆,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　旺電舎  ☆#,,,,,,,
153,OKI,沖電気工業本庄工場,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　沖電気工業 本庄工場#,,,,,,,
154,G-080-1(20100420).xls,沖電線ﾌﾚｷｼﾌﾞﾙｻｰｷｯﾄ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　沖電線ﾌﾚｷｼﾌﾞﾙｻｰｷｯﾄ#,,,,,,,
155,OCA,落合工機,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　落合工機#,,,,,,,
156,SEI-001(20100106).xls,ｵｶﾌｰｽﾞ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\お　ｵｶﾌｰｽﾞ#,,,,,,,
157,ASK4,(株)アセック,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　(株)アセック#,,,,,,,
158,AKR,ARKERU(アーケル),,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　ARKERU(アーケル)#,,,,,,,
159,IAM,アイエイエム電子,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイエイエム電子#,,,,,,,
160,ISD,アイエスディ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイエスディ#,,,,,,,
161,KGM2,アイエヌテック国上,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイエヌテック国上#,,,,,,,
162,ICM,アイカムス・ラボ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイカムス・ラボ#,,,,,,,
163,IRX,アイクレックス,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイクレックス#,,,,,,,
164,IZK2,アイザック(三晶MEC資材調達)☆,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイザック(三晶MEC 資材調達) ☆#,,,,,,,
165,AIS,アイセス,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイセス#,,,,,,,
166,ITC2,アイテック,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイテック#,,,,,,,
167,IDM3,アイデム,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイデム#,,,,,,,
168,IPC,アイペック,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイペック#,,,,,,,
169,IRS2,アイリス,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイリス#,,,,,,,
170,AIN2,アイン精巧,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイン精巧#,,,,,,,
171,IEC2,アイ・イー・シー,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイ・イー・シー#,,,,,,,
172,ISJ,アイ・エス・ジェイ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイ・エス・ジェイ#,,,,,,,
173,ELI,アイ・ライティング・システム(岩崎電気様分),,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイ・ライティング・システム(岩崎電気様分)#,,,,,,,
174,IMC,アイ･エム･シー,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アイ･エム･シー#,,,,,,,
175,G-020-3（20140619）.xls,アオノ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アオノ#,,,,,,,
176,AKT-001,アキタ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アキタ#,,,,,,,
177,AKY,アキヤ電気,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アキヤ電気#,,,,,,,
178,ACT,アクティ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アクティ#,,,,,,,
179,AGR,アグレス,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アグレス#,,,,,,,
180,AKK,アサカ機工,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アサカ機工#,,,,,,,
181,ASH04,アサヒ☆,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アサヒ ☆#,,,,,,,
182,AHP,アサヒプレシジョン,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アサヒプレシジョン#,,,,,,,
183,ASV,アシストＶ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アシストＶ#,,,,,,,
184,AST2,アステイ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アステイ#,,,,,,,
185,AST,アストム,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アストム#,,,,,,,
186,AZB,アズバイオ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アズバイオ#,,,,,,,
187,YMT02,アズビル(山武),,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アズビル(山武)#,,,,,,,
188,KOK-001-B(20171204).xlsx,アセック(株),,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アセック(株)#,,,,,,,
189,AZL,アゼリア,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アゼリア#,,,,,,,
190,AMT,アットマークテクノ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アットマークテクノ#,,,,,,,
191,AZT,アヅマテクノス,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アヅマテクノス#,,,,,,,
192,AMG,アヅマ合成樹脂,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アヅマ合成樹脂#,,,,,,,
193,1,アドバネクス☆,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アドバネクス　☆#,,,,,,,
194,APR,アプローチ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アプローチ#,,,,,,,
195,AMZ01,アマゾンサイエンス,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アマゾンサイエンス#,,,,,,,
196,ALM,アラマキ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アラマキ#,,,,,,,
197,ART,アリアテクニカ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アリアテクニカ#,,,,,,,
198,ALC,アルコム,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルコム#,,,,,,,
199,ARS2,アルス,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルス#,,,,,,,
200,ALP9,アルプスアルパイン,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルプスアルパイン#,,,,,,,
201,ALP6,アルプス物流加須営業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルプス物流 加須営業所#,,,,,,,
202,ALP08,アルプス物流北上営業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルプス物流 北上営業所#,,,,,,,
203,ALP4,アルプス物流松戸営業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルプス物流 松戸営業所#,,,,,,,
204,ALP5,アルプス物流横浜営業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルプス物流 横浜営業所#,,,,,,,
205,ALP3,アルプス物流長野営業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルプス物流 長野営業所#,,,,,,,
206,ALP07,アルプス物流静岡営業所,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルプス物流 静岡営業所#,,,,,,,
207,ALP,アルプス電気,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アルプス電気#,,,,,,,
208,ALJ,アレントジャパン,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アレントジャパン#,,,,,,,
209,ARM02,アロマ,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アロマ#,,,,,,,
210,ARS,アローセブン,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アローセブン#,,,,,,,
211,AND,アンデス電気,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アンデス電気#,,,,,,,
212,ULM,アンリミット・ジャパン,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アンリミット・ジャパン#,,,,,,,
213,ARK2,アーク産業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アーク産業#,,,,,,,
214,ATB,アートビーム,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アートビーム#,,,,,,,
215,ATF2,アートファイネックス東京,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アートファイネックス 東京#,,,,,,,
216,ATF,アートファイネックス福井,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アートファイネックス 福井#,,,,,,,
217,UBC,アーバンカンパニー,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アーバンカンパニー#,,,,,,,
218,RKK,アール光学工業,,あ行,#\\server\ysd-folder\新一般注文書\あ行\ア　アール光学工業#,,,,,,,
