TrayCustomerID,CustomerNo,Destination,Address,Client,Sub,PhoneNumber,FAX,Remarks,FolderLink,UpdatedAt,UpdatedBy
80,AON,（株）青野工業,茨城県稲敷郡河内町金江津5505,大塚商店OTK02,鳥羽課長,0297-86-3661,,,,,
81,AON1,(株)青野工業,〒140-0015　　東京都品川区西大井6-7-2,AON01,,03-3776-3144,03-3776-3746,,,,
82,ARM2,(株)アロマ,〒999-7781　　山形県東田川郡庄内町余目字六人塚132-1,ARM02　　1400,工藤 様宛,0234-42-0655,0234-42-0589,,,,
83,ARS,(株)アローセブン,〒433-8122　　静岡県浜松市中区上島3-27-7,ARS01　　968,製造　鈴木 様宛,053-469-0031,053-469-0037,,,,
84,ARK,(有)荒川ﾊﾟｯｸ,〒116-0012　　東京都荒川区東尾久1-21-22,ARK01　　999,,03-3895-5589,03-3809-2889,,,,
85,ASA,（株）エイ･エス･エイ,愛知県愛知郡久手町長配1-721,ASA01,高野,0561-62-0533,0561-62-8830,,,,
86,ASH,（株）朝日ﾌﾟﾗｽﾁｯｸ　　,*,ASH01,*,*,,,,,
87,ASH2,（株）朝日ﾌﾟﾗｽﾁｯｸ   別棟（倉庫）,港北区新吉田町510-3,ASH01,中谷,045-593-2121,,,,,
88,ASH3,旭化工（株）,大阪市都島区友淵町3-9-8,日三化成NSK03,営業部 資材課 竹澤,06-6923-5722,,,,,
89,ASH04,(株)アサヒ,〒125-0042　　東京都葛飾区金町2-16-12,ASH04　　1431,保田 様,03-5699-6003,03-5699-6279,,,,
90,ASH4,（株）朝日,東京都荒川区町屋3-13-16,ASH02,柳沢,03-3895-7402,03-3892-7922,,,,
91,ASH5,（株）朝日   第二工場,東京都荒川区町屋4-32-5,ASH02,*,03-3819-9085,,,,,
92,ASH6,旭化工（株）,大阪市都島区友淵町3-9-8,小倉貿易OGR01,営業部 資材課 竹澤,06-6923-5722,,,,,
93,ASH7,（株）朝比奈　南成瀬工場,東京都町田市南成瀬4-19-3,AMP A伝　平井,五十嵐,042-722-1988,,,,,
94,ASH8,朝比奈（株）第2工場,東京都町田市南成瀬4-19-3,AMP 勝俣 A伝,斎藤,042-722-1988,,,,,
95,ASH9,（株）朝比奈　南成瀬工場,東京都町田市南成瀬4-19-3,AMP A伝　逢澤,五十嵐,042-722-1988,,,,,
96,ASH10,(株)朝日ﾗﾊﾞｰ　　白河工場,〒969-0101　　福島県西白河郡泉崎村大字泉崎字坊頭窪1番地,ASH03　　1037,遠藤 様宛,0248-53-4012,0248-53-4872,,,,
97,ASK3,(株)朝日化成,〒821-0012　　福岡県嘉麻市上山田211番地51,ASK03　　1344,横山 様,0948-53-0097,0948-53-2957,,,,
98,ATB,アートビーム(有),〒192-0042　　東京都八王子市中野山王1-6-6,ATB01　　1254,総務　　小川 様宛,042-622-7380,042-622-7481,,,,
99,ATG,旭テクノグラス（株）,静岡県榛原郡吉田町川尻3583-5,RGS04,開発部　佐野 一広様,03-5850-3011,03-5850-3065,,,,
100,ATMS,泰盟産業（株）　本社,川崎市中原区上丸子三王町2-1199,AMP  B伝,*,044-433-3946,,,,,
101,ATT,㈱アートテクノロジー,福井県鯖江市上河端町6-1-33,ATT01,,0778-54-8081,0778-54-8088,,,,
102,AXN,ｱｸｼｽ･ﾈｯﾄ(株),〒532-0011　　大阪府大阪市淀川区西中島７丁目14-35-603,AXN01　　1161,,06-4806-8570,06-4806-8572,,,,
103,AZM1,東工業,*,OCC01,*,*,,,,,
104,AZM2,東工業,*,三住ｹﾐｶﾙ SNS01,*,*,,,,,
105,BBJ,BBJﾊｲﾃｯｸ(株),〒330-0852　　埼玉県さいたま市大宮区大成町3-530-1日の出ﾋﾞﾙ3F,BBJ01　　1040,,048-654-2551,048-654-2571,,,,
106,BLS,(有)ブル精密　　本社・第一工場,〒323-1104　　栃木県栃木市藤岡町藤岡5057,BLS01　　1056,藤沼 様,0282-62-4006,0282-62-2568,,,,
107,BNS,(株)ベネッセ・ﾍﾞｰｽコム,岡山県岡山市北区南方3-7-17,BNS01,樋口,086-221-5258,086-221-5393,,,,
108,CBK,(株)中部工具,〒505-0046　　岐阜県美濃加茂市西町7-70,CBK01　　1338,岡崎 様宛,0574-25-4108,,,,,
109,CBT,(株)チバ・テクノ,〒012-0051　　秋田県湯沢市深堀字中川原116-7,CBT01　　1446,柴田 様宛,0183-73-0106,0183-73-0199,,,,
110,COK,中央工機株式会社,川崎市中原区北谷町6,COK01,*,044-522-2496,,,,,
111,COK2,中央工機株式会社(株),名古屋市昭和区高辻町4番3号,COK02,増田,052-889-1721,052-889-1738,,,,
112,COT,㈱コンテック,相模原市相模大野5-27-39,COT01　ｺﾝﾃｯｸ,林 様,042-766-5271,042-766-5257,,,,
113,CEJ1,㈱シチズン電子,山梨県富士吉田市上暮地1-23-1,CEJ01,,0555-23-4121,,,,,
114,CNG,(株)ちの技研,〒391-0213　　長野県茅野市豊平376-1,CNG01　　1057,技術部　　一色様宛,0266-72-5353,0266-72-0876,,,,
115,CNS,コーンズテクノロジー(株),〒105-0014　　東京都港区芝3丁目5番1号ｺｰﾝｽﾞﾊｳｽ,CNS01　　1074,電子部品事業部　電子ﾃﾞﾊﾞｲｽ営業部　橋元 様宛,03-5427-7565,03-5427-7572,,,,
116,CPL,日本電産コパル電子（株）田尻事業所,宮城県遠田郡田尻町沼部字新堀81-1,CPL01,回路部品事業部　購買SW,0229-39-2416,0229-39-2538,,,,
117,CPT,ｷｬﾋﾟﾀﾙ,〒350-1155　　埼玉県川越市下赤坂751-11,CPT01　　1022,遠藤 様宛,049-262-8208,049-262-8201,,,,
118,CRS,㈱クリスタル光学,滋賀県大津市真野大野,CRS01 ｸﾘｽﾀﾙ光学,石塚,077-572-4848,077-572-4858,,,,
119,CRS2,(株)ＣＲＯＳＳ横浜,〒221-0863　　神奈川県横浜市神奈川区羽沢町1578-305,CRS02　1374,鈴木 様宛,045-459-9321,,,,,
120,CSM,(株)ｺｽﾓ･ﾊﾟﾜｰ,〒959-1303 新潟県加茂市後須田2254-1,CSM01　　1075,技術課　　佐々木 文雄 様宛,0256-53-0695,0256-53-0092,,,,
121,CSM2,(株)コスメ・プランニング,〒340-0011　　埼玉県草加市栄町1-6-20,CSM02　　,半田 様宛,048-930-0639,,,,,
122,CST,シーエステック(株),〒569-0078　　大阪府高槻市大手町3-60,CST04　　1025,開発営業部　　吉村 様宛,072-662-9191,072-662-9192,,,,
123,CUS,ｷｭﾘｱｽ精機(株),〒442-0061　　愛知県豊川市穂ノ原3丁目22-15,CUS01　　1172,柘植 様宛,0553-85-1155,,,,,
124,CYD4,千代田機工(株)　　横浜営業所,〒221-0841　　神奈川県横浜市神奈川区松本町5-38-10,CYD04　　989,角田 様宛,045-322-5912,045-322-5916,,,,
125,CYD5,千代田機工(株)　　熊谷営業所,〒360-0856　　埼玉県熊谷市別府5-93,CYD05　　1055,田中 様宛,048-532-0685,045-532-0680,,,,
126,DDK,第一電子工業（株）,栃木県真岡市松山町14,DDK01,多極製品開発部　永嶋　健一,0285-83-4799,0285-84-4401,,,,
127,DDL,(株)ディーディーエル,〒060-0035　　北海道札幌市中央区来た5条東2丁目1　AFTﾋﾞﾙ6F,DDL01　　1416,高木 様宛,011-206-8558,011-206-8559,,,,
128,DGK,(株)電子技研工業,〒182-0021　　東京都調布市調布ヶ丘3-2-1,DGK01　　1419,加藤 様宛,042-486-0775,042-486-6851,,,,
129,DIC,（株）大一,埼玉県入間市根岸15,DIC01,佐々木,042-934-8000,042-934-8008,,,,
130,DIC1,（株）大一,埼玉県入間市根岸15,DIC01,社長,042-934-8000,042-934-8008,,,,
131,DII,(株)第一　　西東京支社,〒190-0022　　東京都立川市錦町1-8-7立川錦町ビル,DII01　　985,長谷 様宛,042-524-0686,042-524-0484,,,,
132,DIK3,(株)ダイコー,〒140-0004　　東京都品川区南品川3-1-8,DIK03　　1355,佐竹 様宛,03-3474-1402,,,,,
133,DIM,(株)大妙,京都府京都市南区唐橋門脇町2,DIM01,大井 様宛,075-681-7964,075-691-2805,,,,
134,DIM2,(株)デイム,〒215-0023　　神奈川県川崎市麻生区片平6-7-15,DIM02　　1178,寺田 様,044-986-9415,044-986-9778,,,,
135,DIN2,ﾀﾞｲﾅｵｯｸｽ(株),〒659-0072　　兵庫県芦屋市川西町5-2,DIN02　1091　ﾀﾞｲﾅｵｯｸｽ㈱,中本 様宛,0797-38-6800,,,,,
136,DIS,(株)ﾀﾞｲｼﾝ,〒399-0711　　長野県塩尻市片岡今泉9828-15,DIS02　　976,百瀬,0263-53-4411,0263-53-4412,,,,
137,DIS3,大進段ボール(株),〒246-0038　　神奈川県横浜市瀬谷区宮沢3-22-1,DIS03　　1172,段ボール事業部　　三橋 様宛,045-303-8800,045-303-9181,,,,
138,DIW,（株）ダイワ化成,綾瀬市土棚中3-11-82,KYW02,*,0467-70-4189,,,,,
139,DIY01,ダイヤ精密(株),〒470-0131　　愛知県日進市岩崎町竹ノ山37番地104,DIY01,大矢 様宛,0561-72-1125,0561-74-2272,,,,
140,DKI,大研医器(株),〒594-1157　　大阪府和泉市あゆみ野２丁目６番２号,DKI01　　1324,研究部　キム 様宛,0725-51-2134,0725-54-3862,,,,
141,DKK,電気化学工業(株)　渋川工場,〒377-8520　　群馬県渋川市中村1135番地,DKK01　　1092,ｶﾞﾗｽ積層加工試験室　　栗原 様宛,0279-25-2137,0279-25-2149,,,,
142,DKY,大庫洋紙(株)　営業本部,〒587-0051　　大阪府堺市美原区北余部59-2,DKY01　　1086,事務課　生産管理係　　上床 様宛,072-361-4023,072-361-2522,,,,
143,DNP,大日本商事(株),〒102-8424　　東京都千代田区飯田橋2-1-11 DNP飯田橋ﾋﾞﾙ,DNP01　　1215,電子ｼｽﾃﾑ　　田中 様,03-3288-7606,03-3288-7233,,,,
144,DSK,(株)電子設計,〒480-0202　　愛知県西春日井郡豊山町豊場字流川117,DSK01　　1379,資材課　　村山 様宛,0568-28-4391,0568-28-2897,,,,
145,EFC2,(株)イフェクト,〒212-0032　　神奈川県川崎市幸区新川崎7-7-225　新産業創造ｾﾝﾀｰ,EFC02　　1234,桑田 様宛,044-201-1973,044-201-1974,,,,
146,EIT,八代電機㈱,横浜市鶴見区市場上町1-18,EIT01,茨田,045-501-5308,045-501-5769,,,,
147,EKS,（株）エクセル,相模原市橋本6-47-12,EKS01,鳴海,042-700-1662,042-700-1663,,,,
148,ELB,エレバム,*,SON01,野口,*,,,,,
149,ELB1,エレバム,*,SON01,平（たいら）,*,,,,,
150,ELN,(株)エラン,〒381-0031　　長野県長野市西尾張部1002-10,ELN01　　1258,森岡 様宛,026-239-7805,026-239-7810,,,,
151,ELS,ｴﾄﾞﾜｰｽﾞﾗｲﾌｻｲｴﾝｽ(株)　　,〒160-0023　　東京都新宿区西新宿6丁目10番1号,ELS01　　1162,安全管理部　　大川 様宛,03-6894-0500,03-6894-0899,,,,
152,EMY,(株)イーエムワイ,〒384-0414　　長野県佐久市下越132-5,EMY01　　1063,山田 様宛,0267-81-5177,0267-81-5181,,,,
153,ENA,(株)エナ,〒509-7201　　岐阜県恵那市大井町2695-733,ENA01　　1197,古畑 様宛,0573-26-3831,0573-25-6244,,,,
154,ENM,(株) エノモト,神奈川県津久井郡藤野町佐野川2350,AMP 勝俣 A伝,小俣工場長代理,0426-87-5111,0426-87-4878,,,,
155,ENP,㈱エンプラス,栃木県矢坂市片岡　2066番地2,TNX01,オプトプラニクス事業部　室井,0287-48-2440,,,,,
156,ENS,㈱遠州,〒438-0831　静岡県磐田市上新屋748,ENS01  1140,伊藤,0538-35-5170,0538-37-0830,,,,
157,EPE,(株)イーピーイ　　酒田営業所,山形県酒田市大宮町2-6-22,インテックス,村井所長,0234-26-6666,,,,,
158,EPX,(株)エピテックス,〒601-8034　　京都府京都市南区東九条南河辺町66-3,EPX01　　1363,佐伯 様宛,075-682-2338,075-682-2267,,,,
159,ERB1,(株)エレバム,,,佐藤,,,,,,
160,ESK,栄商金属(株),〒146-0092　　東京都大田区下丸子2-1-3,ESK01　1029,佐山 様宛,03-3759-1207,03-3759-1255,,,,
161,ESP,(有) エースプラスチック,東京都八王子市左入町111,小倉貿易（株）OGR01,,0426-91-7308,,,,,
162,EST,イースタン技研(株),〒242-0014　　神奈川県大和市上和田2666-2,EST01　　1429,電気接点事業部　中村様宛,046-201-0901,,,,,
163,ETK1,㈱エイト工業,横浜市港北区綱島東6-7-9,ETK01 ｴｲﾄ工業,,045-542-0117,045-544-1417,,,,
164,EXD,㈱エクセル電子,愛媛県松山市空港通4-6-2,EXD01,設計　渡部,089-972-8860,089-973-2880,,,,
165,EXD2,(株)エクセル電子　東京営業所,東京都品川区五反田5丁目5-1,EXD01,ﾃｸﾆｶﾙﾃﾞｻﾞｲﾝｾﾝﾀｰ　山口 様宛,03-3495-2235,03-3493-2049,,,,
166,EXD1,㈱エクセル電子,愛媛県松山市空港通4-6-2,EXD01,中屋,089-972-8860,*,,,,
167,EXP,(有)エクセルﾊﾟｰﾂ,〒520-3435　　滋賀県甲賀市甲賀町相模331,EXP01　　1088,中島 様宛,0748-88-5198,0748-88-6311,,,,
168,EZK,江崎工業(株),〒329-4306　　栃木県下都賀郡岩舟町大字曲ヶ島1932-1,EZK01　　1231,三木 様宛,0282-55-1511,0282-88-0367,,,,
169,FDK1,FDK株式会社,静岡県湖西市鷲津2281,FDK01  171,購買企画部　佐藤,053-576-2152,,,,,
170,FDK2,FDK株式会社,静岡県湖西市鷲津2281,*,Pプロ　梶本　雅俊,053-575-2617,,,,,
171,FDK3,FDK株式会社 　山陽工場,〒757-8585　　山口県山陽小野田市本町5区,FDK02　　950,圧電製造課　技術　　竹内 様宛,0836-71-0086,0836-72-1299,,,,
172,FDK4,FDK株式会社 　電子事業本部,〒431-0495　　静岡県湖西市鷲津2281,FDK01　　171,ﾊﾟﾜｰｺﾝﾎﾟｰﾈﾝﾄ事業部　YD開発Gr.　中村 様宛,053-575-2586,053-575-1496,,,,
173,FDK5,FDJｴﾅｼﾞｰ(株),〒431-0431　　静岡県湖西市鷲津614,FDK03　　1204,技術統括部　商品開発課　　石谷 様宛,053-576-5121,,,,,
174,FJD,（株）フジ電科,群馬県藤岡市鮎川757,FJD01,群馬工場　購買課　岡田,0274-24-2077,0274-24-2486,,,,
175,FJK,（株）青森フジクラ金矢,青森県上北郡六戸町金矢2-2,FJK05,光部品部生産管理課  伊藤 孝弘,0176-51-1304,0176-51-1103,,,,
176,FJK2,（株）フジクラ　　　光機器事業部　,千葉県佐倉市六崎1440,FJK04   ﾌｼﾞｸﾗ,光対応製品部　技術ｸﾞﾙｰﾌﾟ　林　和幸,043-484-3943,043-484-0987,,,,
177,FJK3,（株）フジクラ　　　光機器事業部　,千葉県佐倉市六崎1440,FJK04   ﾌｼﾞｸﾗ,光機開S  久保木　,043-484-0921,043-484-0987,,,,
178,FJS,(株)フジソレノイド,〒671-1534　　兵庫県揖保郡太子町福地793-1,FJS01　　1288,浅尾 様宛,079-276-3611,079-276-2050,,,,
179,FJT,（株）島根富士通,島根県簸川郡斐川町大字三絡1180-6,AMP 逢澤,製造技術部　狩野,0853-72-4223,,,,,
180,FJT1,富士通ﾏｲｸﾛﾃﾞﾊﾞｲｽ(株),〒222-0033　　神奈川県横浜市港区新横浜2-100-45　新横浜中央ビル13F,FJT01　　1110,首都圏営業部 第一版　　今吉 様宛,045-415-5891,045-415-5880,,,,
181,FKE,（株）深江工作所　豊津工場,福岡県京都郡みやこ町徳永1781,,今村,0930-33-3542,,,,,
